country robot_bid human_bid ratio
us 61 669 0.0911808669656
in 59 1017 0.0580137659784
py 19 91 0.208791208791
ru 41 292 0.140410958904
th 56 477 0.117400419287
id 60 823 0.0729040097205
za 54 497 0.108651911469
ng 40 481 0.0831600831601
sd 11 156 0.0705128205128
au 51 295 0.172881355932
hr 16 102 0.156862745098
np 17 198 0.0858585858586
iq 23 173 0.132947976879
bd 24 324 0.0740740740741
tr 42 469 0.089552238806
ch 22 73 0.301369863014
ke 32 325 0.0984615384615
uk 56 446 0.125560538117
fr 45 296 0.152027027027
pk 24 254 0.0944881889764
my 60 706 0.0849858356941
vn 29 233 0.124463519313
ro 25 249 0.100401606426
gh 20 226 0.0884955752212
ua 31 177 0.175141242938
pl 29 234 0.123931623932
by 9 40 0.225
ar 29 228 0.127192982456
zm 17 127 0.133858267717
lk 32 312 0.102564102564
ph 37 324 0.114197530864
br 35 280 0.125
es 28 210 0.133333333333
mx 33 298 0.110738255034
il 14 75 0.186666666667
qa 30 203 0.147783251232
nl 22 168 0.130952380952
ve 9 57 0.157894736842
sg 49 314 0.156050955414
gt 23 230 0.1
ae 29 372 0.0779569892473
az 19 225 0.0844444444444
uz 3 49 0.0612244897959
ht 3 27 0.111111111111
tz 18 156 0.115384615385
gm 7 51 0.137254901961
dk 12 56 0.214285714286
no 35 186 0.188172043011
kw 23 231 0.0995670995671
mk 6 56 0.107142857143
hu 16 114 0.140350877193
it 39 249 0.156626506024
ml 9 113 0.0796460176991
sv 18 86 0.209302325581
bn 35 295 0.118644067797
ni 7 42 0.166666666667
cn 26 306 0.0849673202614
et 22 279 0.078853046595
ge 13 95 0.136842105263
mw 14 105 0.133333333333
ee 4 37 0.108108108108
ye 7 76 0.0921052631579
kr 4 24 0.166666666667
tn 17 160 0.10625
gr 19 159 0.119496855346
at 15 91 0.164835164835
cm 13 97 0.134020618557
ca 42 362 0.116022099448
mn 2 13 0.153846153846
rs 23 156 0.147435897436
sz 11 76 0.144736842105
pe 11 86 0.127906976744
jp 16 59 0.271186440678
sl 7 60 0.116666666667
bh 18 116 0.155172413793
zw 15 130 0.115384615385
bg 7 62 0.112903225806
de 46 290 0.158620689655
eu 24 228 0.105263157895
cr 9 69 0.130434782609
jo 18 155 0.116129032258
ie 18 102 0.176470588235
sa 41 427 0.096018735363
eg 21 191 0.109947643979
dz 21 176 0.119318181818
hk 19 178 0.106741573034
ec 11 81 0.135802469136
si 8 44 0.181818181818
lv 6 38 0.157894736842
na 11 84 0.130952380952
nan 0 0 nan
mt 1 24 0.0416666666667
ug 16 105 0.152380952381
kg 2 16 0.125
se 23 141 0.163120567376
bb 2 11 0.181818181818
sc 4 33 0.121212121212
sn 8 91 0.0879120879121
om 22 215 0.102325581395
fi 14 42 0.333333333333
cl 11 82 0.134146341463
ma 24 258 0.093023255814
am 6 42 0.142857142857
lr 4 59 0.0677966101695
be 15 109 0.137614678899
bf 7 44 0.159090909091
kh 6 73 0.0821917808219
md 8 40 0.2
ly 10 69 0.144927536232
al 11 97 0.113402061856
ba 7 56 0.125
bo 13 75 0.173333333333
lt 17 113 0.150442477876
ga 3 47 0.063829787234
mr 4 87 0.0459770114943
jm 3 30 0.1
bj 6 56 0.107142857143
mu 12 107 0.11214953271
pa 11 66 0.166666666667
cz 18 117 0.153846153846
ao 5 71 0.0704225352113
lu 6 52 0.115384615385
me 7 49 0.142857142857
af 13 106 0.122641509434
kz 3 23 0.130434782609
hn 2 21 0.0952380952381
ls 3 40 0.075
uy 5 26 0.192307692308
lb 7 70 0.1
cy 6 32 0.1875
sk 15 95 0.157894736842
ir 22 189 0.116402116402
la 7 49 0.142857142857
dj 6 86 0.0697674418605
bz 1 5 0.2
ci 4 51 0.078431372549
is 2 25 0.08
mg 7 55 0.127272727273
so 5 72 0.0694444444444
co 8 57 0.140350877193
pt 9 99 0.0909090909091
gy 1 10 0.1
td 2 24 0.0833333333333
rw 4 53 0.0754716981132
pr 2 10 0.2
bw 8 63 0.126984126984
gq 1 41 0.0243902439024
cv 3 23 0.130434782609
mc 2 46 0.0434782608696
ne 6 48 0.125
tg 2 37 0.0540540540541
bi 0 19 0.0
sy 6 34 0.176470588235
tt 5 48 0.104166666667
cd 6 53 0.11320754717
sb 0 8 0.0
mz 4 60 0.0666666666667
mm 4 32 0.125
tj 2 29 0.0689655172414
tw 14 79 0.177215189873
gu 2 7 0.285714285714
cg 2 27 0.0740740740741
gl 2 4 0.5
nz 13 90 0.144444444444
mv 3 35 0.0857142857143
ps 1 13 0.0769230769231
tm 2 7 0.285714285714
ag 1 2 0.5
ad 1 5 0.2
sr 2 15 0.133333333333
ws 0 4 0.0
je 1 1 1.0
do 3 12 0.25
li 1 4 0.25
fj 1 21 0.047619047619
nc 1 0 nan
gi 1 0 nan
cf 0 4 0.0
mo 1 2 0.5
dm 1 2 0.5
bt 2 6 0.333333333333
re 1 5 0.2
fo 1 1 1.0
mp 1 1 1.0
bm 1 4 0.25
gn 0 1 0.0
tl 1 4 0.25
pg 1 27 0.037037037037
pf 1 3 0.333333333333
vc 0 0 nan
zz 1 1 1.0
bs 1 2 0.5
aw 1 0 nan
gb 1 1 1.0
vi 1 0 nan
mh 0 1 0.0
tc 1 0 nan
an 1 0 nan
er 0 1 0.0
gp 1 0 nan
