,bidder_id,auctions_won_cnt
0,00a0517965f18610417ee784a05f494d4dw6e,1
1,01067975436d123f717ee5aba0dd4bbfa0937,2
2,01cda526658455000913950f20cf31a2q6nsf,10
3,022ac3a7ce986049d9a4bede83ccf9ddctvg6,14
4,0318e0a173f7c65db40116b903884c854x258,54
5,037d9f10da403d8d5f94b6e2957a3702f6x07,227
6,03a1e81cb7bcd15014489a6f752c9d5b7pvel,1
7,03aafab9868455b78f0723eda86698ba9v9rm,11
8,041d869edcadf595b90e3b5248903183pn754,5
9,047558bebab9292a5d4c85d6ee768784j2hdd,8
10,0496c24a6a7f593f28bf7896350e946advl6i,2
11,0547dbd3ecb4a293913f138d60b586fdf4ane,2
12,054b51d059fe981ca8cc4e0d4c49aabb5mck7,16
13,055282b75717345ba6f53d40e9e6d6c56qrzp,41
14,0565a780f2c5b46837bbe9739ef15ea92fdu0,3
15,05c9fe8f8852ea069a93dfe39fc0571er9mdt,1
16,061690ceb6004807b7906968bf382dfcbve7y,1
17,06a58d4af0fe7ee15324b0e921e8de1260vef,20
18,074daf9a99b01591cb0637cb95c32600roriz,9
19,078e06b3288cf8f18ab7ed44b245fc56nbyfv,1
20,0817731a4d2e319f6f771da3f522b8bfv6njs,1
21,08515611e73803dc6d8c562b8514dfb5qi3z9,1
22,0870fb7e5701f3ba56762b03e157afdc1yw7u,1
23,08981037e7a6c9032716ff25b15c9de25p63s,28
24,0a43de0ab0a7525fec59ef4bc1dda7a2z9z69,6
25,0a7446b63f183a4928ae762ed6cd1c4b894qz,4
26,0ad17aa9111f657d71cd3005599afc24fd44y,38
27,0b3d5f829d18ba30d967fceecb58821c3oeqa,6
28,0c5992f18244e24d2d7b4708a512378729eev,2
29,0cbd01c9e8cc800aabd3b3e4c618f9caktfgp,6
30,0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,1
31,0d1815382b08885d76c671ab600133adeyp5e,9
32,0e5ec5baf2e15afdbf5212d8461e1ad9h3kr0,1
33,0e66933c924764a59760aaae5368e7d1e0s88,2
34,0ea26a4028ffc16d9a8631d43e1b92105auao,2
35,0eeffc5039b27a4dc2e420eca75b1fa55rv5q,6
36,0ef9be4eb3b6a03ac2945522964b242ap09cy,2
37,0f33df2513a519a35c8b3dcf1d7c7416jjjzk,65
38,0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,1
39,0f8cb1baa83fefac10f885f79149bf13kn4nw,18
40,0fa357965f89388d8e7eb8cbc3b85c6bnnro4,4
41,100d406b638e84e2da7c31b03100b874qiay2,4
42,11d5f6925da5809e2d447788b85d6253jj8fu,18
43,11d7f0a5076649b229c301a22537834e1ehwg,13
44,120c8b384858420c4e46e354c86f4ca393w0i,12
45,121578435bf4136746cd2a80f1990e07cv1px,1
46,1275d8a6a3b2ae9d24b50997397c254cpuuzv,5
47,12c1b22ede3c23949bf130cc7bac6316ks7fj,1
48,1476226300a93d22b15253ed7339429a7ijk0,11
49,14c69cd7fbc8300876f287520c493fc8xe2o6,5
50,14d4e04d7ed150613974438a4dfd4e85dybq3,3
51,14f226ef57ed64d8e14c8b5ae929143cgq3em,2
52,15f34e73687d7361ac0d780737fca261g2s9n,15
53,162886daa0054ff1ad422e0f18cddff3qofft,4
54,167b4f37a264b72feb0f559b650d1cbd3ox60,2
55,16e2e48cff6faab74e1f5c47669dfbbda7l5z,1
56,171fbac128e6dcb51d0f07cf7ed8bd3er891e,3
57,175a06fdcf622c9455d0a77990b9302dj23ke,3
58,179a23cad40c51dd7804069bf769d11e1ftk9,7
59,17a321c4a0d925ca80507effa52330ac5n5r7,22
60,17eeec8676ad56bfead1a9406277f41cnev3n,12
61,1899fd76b484b9275854787a6b003b8a93js0,2
62,18bc9dbbed75b55f35ec4be1351b7aa86an68,29
63,197e90906939267ace2422e78e8e83889znqp,477
64,19815d9bcdc74c3ddfb9ff210c1739f3tup3i,1
65,19b39b852ed4abf1ba5b095829e25b946aed1,5
66,1a09feff347553a2577983d7c742e3d6l2hfo,10
67,1a5d7993b43386f64fcf4b84e7b183a6ref21,1
68,1aa485901ede7baf78ea116e297e9d7f9en6i,62
69,1af4685cda2979a608c4b6ad83473774qgicn,9
70,1ba9422d7a55aa5abc3ff37d1cafa9f2yds7i,13
71,1bb03cdb913f203f704caf8bf6840b6fbpigb,4
72,1bb7a8c04e70386f5496322158e9fc3ef6d84,10
73,1bbfbd968c065ff5dabeffe311bc3ddeezbof,11
74,1cbd9081de4481ada66f1853737f7684ddjd1,15
75,1cd8d86911413c73e92ad1170cae68c3pocsn,298
76,1d69e006699adba0c79ab06f2f622445nuu63,1
