bidder_id,country_cnt_mean_auc
001068c415025a009fee375a12cff4fcnht8y,1.0
002d229ffb247009810828f648afc2ef593rb,1.0
0030a2dd87ad2733e0873062e4f83954mkj86,1.0
003180b29c6a5f8f1d84a6b7b6f7be57tjj1o,1.0
00486a11dff552c4bd7696265724ff81yeo9v,1.0
0051aef3fdeacdadba664b9b3b07e04e4coc6,1.2
0053b78cde37c4384a20d2da9aa4272aym4pb,1.91176470588
0061edfc5b07ff3d70d693883a38d370oy4fs,1.02631578947
00862324eb508ca5202b6d4e5f1a80fc3t3lp,1.0
009479273c288b1dd096dc3087653499lrx3c,1.0
009cee781e8414f7fb55b2f92157e9dbu0y6o,1.5
00a0517965f18610417ee784a05f494d4dw6e,1.0
00a79ebd15f0b24a0a3b5794457cd8ed7dng1,1.27027027027
00b519ec8ed5e370328451379bb708a306eoj,1.16838487973
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,1.0
00ceb1b66fc6c08f2e1b7937b5bc7f870qn5k,1.1
00dd948c3a88f7b68f1952dbeeac68ffb6qoc,1.0
00e0f614d9dd32dd27f6080f472d2934emlos,1.11330049261
01067975436d123f717ee5aba0dd4bbfa0937,4.94117647059
010e5ed5eb439e0daf1870a0b426e32cztbdt,1.25
0113d101ec6aabd354adac645a1ec3e82ln88,1.02941176471
012441119bcf83b23d4768bb72cea6d6carua,1.05263157895
01255c2c7c5578c186873422fc00fd7afwk8k,1.30769230769
01349288df20199905e719f0ff7ee771nwryj,1.0
0141844fc725a85e38e12cc02fcdbbe8ofqxv,1.21428571429
0165dcd38f54e83aafb7bb3d95cd9369800km,1.0
016e3c511caf01a845c9c976bbf355a6m1nns,1.0
0176025cc599cb59f825d592b8ef3ee3p5aqv,1.0
0181b91f58e6cbaa832235e2879c9c00ovrzi,1.11111111111
018c9ecc065880c95e21c0291a3b478dj1c0a,1.0
0196137a75792cfa9e1ffae0c968f8e5h5eqq,1.5
019cf2d366df756c092c91e26f406acdozha7,1.01449275362
01a2f136b87e5c544e2f2c59295bea7ebwv8y,1.0
01a39439e7afbdcfe385eedbddb23d76zgdrg,1.03053435115
01c1c7be49cd6cfbb9075925a05c9899p41va,1.0
01c5692d487454cdbe731df330bef608f48zz,1.0
01c729a32b5f51f088884b558cd2cfd1xz1qe,1.0
01cda526658455000913950f20cf31a2q6nsf,1.0
01d5348d4d4472288c0c458d8630504165r4k,1.0
01e4994f0a29fa76c7595fe3929bec777acv0,1.0
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,1.5
01ecfeb5d9946423c7fb088a84fe77c3smw4c,1.0
01f498a0992d280de63ec346692efb2blckg2,1.0
02030ec48b7179a7fd9950fdf546e3feekkye,1.0
0204227c6c8042ec8d8cc1bacb0d44b1csycb,1.07868852459
02127cccff7c56391882f1d58dd960fchwfua,1.0
022ac3a7ce986049d9a4bede83ccf9ddctvg6,1.23529411765
023d51d2bcf7d962c766ff570fa7a21ds3c96,1.13333333333
024937af9ea18a2b57e4f08762d181f7s8a3z,1.0
024b9e2d822424b09ddf86b2a9cf8614a0uwy,1.54838709677
024cf43497fd7381df6254888670f84bwbbam,1.0
024d6a4a489d4411f795d04b6617d1f47qvrs,1.19895287958
02518a364d87661eed1453e251933862yvmjj,1.74213836478
02615aa755c78f1812d7f772f4ed3d8anist8,1.0
026819504b59bc4eefb9963d5fe4271aql15u,1.0
02857858772bd4320632bf6a51e02f6ejw6au,1.0
0294102fd936228343828f48c7f2b270dklg3,1.0
02a28b9de21bcb744bc2a7dedc008f91pbcpc,1.0
02acbacd7a029481f44d5a2e2d3fb0b6xe0gx,1.0
02caba35d87c40ffecdb1d998d909957dx7uo,1.0
02cfc97e8fded77671e71e1951723d5fwz6a4,1.0
02db55f07b252ecff0aa4cba93880a44bv4eb,1.16239316239
02de68074ee2edccf6a00dfbd3213269w7k7i,1.0
02fbc26f080655008337619a08cb7c04voa3c,2.46031746032
0306d10ab30a2f5cda41ae7ed77b8d31oehvv,1.08196721311
030fe7527c9394a74f25462cc2ed5af4myezo,1.05714285714
0318e0a173f7c65db40116b903884c854x258,1.98753894081
031da7aea2d4b75ac8ecba4825bc1318yki1d,1.0
03244a553a252dcc3a3037f0371c8d33fmpd1,1.0
0353aa9e97bd46119c90b8892f99982esfem3,1.03448275862
036a4050a5dd65e70f0f613ec2e38a74re026,1.0
036abb8a6ba8171c3e41e16eec64e977ez1jd,1.0
03757ddf8a00f5c600241f3ce956ad7bfv7tw,1.0
037d9f10da403d8d5f94b6e2957a3702f6x07,1.04391891892
0381a69b7a061e9ace2798fd48f1f537mgq57,1.0
038d5c12a210df3818eb8dc34ebedac2ldr62,1.0
03a1e81cb7bcd15014489a6f752c9d5b7pvel,1.0
03a5ac97839b407f5637ce534a0de583ygwx8,1.0
03aafab9868455b78f0723eda86698ba9v9rm,1.20485175202
03b57948c18680b55b6e9ba10eeac42659hsj,1.0
03cac5cc349396386e833a24543980cckfhyu,1.0
03dd77a9a964371144e72f66e791bbe2gkphv,1.025
03e81f2bdfcf6f376b1deb163127eeaedmsqn,1.0
03e884d3e7e3356608187d2345e4693fyt29x,1.0
03ead6957061c72543b8bc35f6b23852j0a0h,1.0
041d869edcadf595b90e3b5248903183pn754,1.0
042780ee9a3730703e35340c575c3cbb7zjwk,1.0
042d1cd843d886c1bd8968e18bfa1b5b8t55o,1.0
0430923026291636fff20fa1707fd34f0nayx,1.0
0446457fc8e21596799158406f77b14catx8w,1.0
0457e2bcdd0a06bd9c8dc3ea9b3c1a7419mgs,1.04651162791
04636b6c61c80f5325efe61183e8edb01ko20,1.0
046897d78512c75febd7cd493f408632lqm40,1.0
047558bebab9292a5d4c85d6ee768784j2hdd,1.4632034632
0496c24a6a7f593f28bf7896350e946advl6i,1.0
04ab1fd6ed917467e808fbe3c6a126ebyusca,1.0
04be4b7846b32bb6445928b4cb3d16af5xwzq,1.0
04bffaa5e353b8a37a66767e3d9b531din3rc,1.0479704797
04c6b750b0552089c87ae03de72289cfcpfmh,1.08333333333
04db33ea12bbed34ea9907f908ad2ca2gnh2s,1.32142857143
04ef306fce8e66b25ecf6a78800e9776s4stl,1.0
04f0778852b2671aab928de427ce7a8ck7vd3,1.0
04f53d51a9cac9391b1d35c109294c48apax1,1.23469387755
04fc5cae5e63ce4437449827e58b2614058v2,1.35443037975
05068af5ba4645de987789f5a3248cd1a9nft,1.44444444444
050a3b29ca1818e1f237df8132bc2013bcuxi,1.0
051586c3297f5b992000048f3704550fxja6g,1.65923566879
05357eefa29d2c28f59f9e346ec64cebylh3z,1.0
053cefb7e952bd81d7a6db267a121747te7lo,1.0
05457a5a02ff30f21d0d16d6e987c7cdn9poc,1.21153846154
0547dbd3ecb4a293913f138d60b586fdf4ane,2.09090909091
054b51d059fe981ca8cc4e0d4c49aabb5mck7,1.17073170732
0550568ad77e8e41f2b188be324c10b8xw912,1.0
055282b75717345ba6f53d40e9e6d6c56qrzp,1.51156069364
055eb52087e0080b8ebca74be4f823f5c819l,1.0
05606b484938640c4309fd9d286fea3fifen9,1.0
0565a780f2c5b46837bbe9739ef15ea92fdu0,1.08866995074
0565d7d345ac29442b26cd9ffe2b3b841wwnb,1.29824561404
057071d595b08bd00caa8e3a91eb954bhgt1q,1.05555555556
0578bad1a458d60f9ba0e810f7058389lz4wj,1.0
057a0760c7d5306786fe54af9d49ddac796rf,1.0
0580f2e77b4c0dd3b5cda8a1641cb9fenmo0i,1.0
058931834bffe72041a6f046e3c7dbbepzv1e,1.02941176471
0589cf78c4bece729f0ac620557210e13no3n,4.0
058a4e0ac0a20f504cc9c6aae2a896e6too9v,1.0
0590c434e36245c7983845752e73ebbdgyugm,1.72435897436
05a07a27e235d01fe480ea6ac73b8838jq28x,1.05882352941
05ae7ea9549ae298bbbc8002b4229392e0ilf,2.0
05b75a11dd918ab9d9dff644219e6727vqzz5,1.57971014493
05bd6eb40889047958e8b96332cc1975vib58,1.0
05c6b93bf8f083b2d0a03ffc0fc3524ba8fi5,1.0
05c9fe8f8852ea069a93dfe39fc0571er9mdt,1.0
05ccfd8ca96643c468ce64c50dd01078ux33u,1.05357142857
05ce81fa868e12e99ab0390d9579747b0tntg,1.05
05de85f05fbb6a6bf86ff6b33be7678ek3flf,1.0
05e5905428f5718a5cecfbde859dc689mcex9,1.03846153846
05f327ba853313444da03bbc41c1cf2ac8cbo,1.02040816327
05f5792216f9a5bfe91ecd0dbccc3cdceuwmf,1.0
05f9e773506d32bb059045cc9bf31b4187sga,1.0
06052ab145f8a3ddc6ad8433ef11da8dputmu,1.0
060ac64ff78ae62e9bc697192cebea333760p,1.0
061690ceb6004807b7906968bf382dfcbve7y,1.0
0619a3ec37e6d49be8b9a2dd094bc8d4skgew,1.44
06237b976cf6ae2d3e3bea5e2d3dade4krnvu,1.0
064711ab52b5f3b7deac4c0465a7ee42h1uot,1.0
06586694c6bba2ccaa8e13354701bb30em5ro,1.4
067ff22ebf0d33fe0deedc816d75973865jo7,1.62068965517
068450aafae2a6e390e35925d964290cdliqf,1.0
068b3d3f48528027025cd31ba92c0d1bpkjdq,1.0
0695b948daa6f8bffb8758d201c27517k50ao,1.0
069d020584a0e8c61e622321d4c43881j7pl3,1.0
069d251f2fc19102924468ab38349d5eou7ab,1.0
06a58d4af0fe7ee15324b0e921e8de1260vef,1.59500959693
06a984e49706c47d079c33a6e038ee9a3moip,1.33333333333
06af48f3b9799398a569506d7cbfaa747k49t,1.0
06b2d71c26ef3b6e29277f761cd0db90wuwjo,1.0
06b9a5226231e5c03cd00c074dce0bacjod7v,1.5
06bbde5ca852af9ed6f2afdc6ee5bc3bko1h1,1.0
06c281e31f83dcfd3fe70d2ee2d66bc7e6fw6,1.0
06cb735854688d6d03c39fe1f8fe84563y4m1,1.0
06dbfffbca4f34157f8a575fa535d9ad3xfwm,1.0
06ddad46112881df154e3bda0e90fe880r57n,1.0
06ea8e569d68b4767725e060d3a72938iqim6,1.0
06ed8a1726d2a3d03c195cb219b2bbb9wbmz8,1.0
06ff2d37e247d28cac0e2a944e39cd6budsbx,1.0
07012e0507b4281d430b93ddcd96cae66und7,1.0
070841d4774fef5fb50eca78a7156715q2hfi,1.0
070c705dab050bebc8c9b379045d8ae8lx62r,1.0
070d7aa0b0e7754e8c58194a6e2c8fc2js081,1.0
070f01355c418cfca4d58db04a5d5af5wuk9n,1.0
071300a7c3385788c00573d1c4bf150csf3cg,1.0
07201f701766a7ea89b36b4e7b984beap4zdc,1.01069518717
074993754af952e8d582e9ff04a2bd5bh2s05,1.0
074daf9a99b01591cb0637cb95c32600roriz,1.02857142857
0750cce1071adff96c9e8d417482cf762jjmb,2.1724137931
0751502caf4afd959c99955c80edacc85u11v,1.0
0763e7371b763087182eb37930074ff8mj7fw,1.30769230769
0764308c5a1d35bf76c32d943eff07a50tp9e,1.0
0774742ee8690973faf76efd53e66b435sakj,1.34090909091
078e06b3288cf8f18ab7ed44b245fc56nbyfv,1.0
07965f31105b6ef1ab30efedbfcd66707lwrm,1.25714285714
07a1eeb3bc5be386c1eb67f4bf69ad56wvkcc,1.0
07a5dbfbf2629ef7018abb660fe0e795xmrw3,1.16666666667
07d23b0f422ef8851ad105ad659fa6492n2su,1.0
07d4faa935f7e83e3b8c08c34baf74a59lwb6,1.0
080042810884fa0937e9ddc89ca18a28jhz48,1.0
08078a2526666deea62ca7c065bf22c4h7i8s,1.0
080a1139f5575159bdca6044ae568550d8f12,1.0
08144977af383cb9f1d3b51ade19f35frjmwm,1.0
0817731a4d2e319f6f771da3f522b8bfv6njs,1.04347826087
0825d381aa09d1d0c47c77c372f07acbe02ky,1.15384615385
082659fb2b29eb5ae7c241393ebb76bb8wq4y,1.0
08353687608279ddd83e4d36fadd1cd8ritj3,2.0
083bc8dabba83902d98f0dd986388319sryc2,1.0
084a25ac6da2d0997becd19eeda619c8po6d2,1.0
08515611e73803dc6d8c562b8514dfb5qi3z9,1.19117647059
