bidder_id,response_max,response_mean,response_median,response_min,response_std
560eeb674015e1284864fbdf0d0b10bbchfvp,105263158,78947368.5,78947368.5,52631579,26315789.5
7fe504252783ec1fd2b203d3de7040e6lflsb,1383842105264,15683619160.3,368421053.0,0,1.12049126797e+11
c368adc1be8ffd5a95d526b24b6c2fdbg3wmi,105263158,63157894.8,105263158.0,0,51568205.1628
b52027a7d41c4233fa89459bff644c89asfm5,105263158,105263158.0,105263158.0,105263158,0.0
d13cd9e0a7b95c0a35f3456014865230qku5q,6421052632,2263157894.62,1815789474.0,157894737,1940243009.6
8abc7635daf75f9fbeb63783b7b8ccd5rvuyo,2894736842,601503759.286,368421052.0,0,947308746.161
3e138d46ef0c61f6ffda8682400892b68oxyv,157894737,157894737.0,157894737.0,157894737,0.0
82194e7d8f9b84e71b789e763b5c3263r6d98,173789473685,7259909031.85,1052631578.0,0,24485064246.8
bfe01d72033be2473ab0eda222e5cb5ebu0za,30421052632,4473684210.57,157894736.0,0,10593955613.1
c73cfe3ef91f67c258feff8efb99a6edft5yv,631578947,578947368.5,578947368.5,526315790,52631578.5
14f6046c70d0334dbd7254fb66706673umn94,4578947368,1894736842.0,1947368421.0,105263158,1526860156.87
90fd7b3c991701dee376daeb09a0a5b7kawse,133473684210,20487719298.2,5578947368.0,0,34767160966.6
40f2eaf03624a31952397644f1b79a6fvtfjf,2648368421053,48395252838.0,3631578947.0,0,2.32929972603e+11
453a3467801a06619f6a740d03897ce0dzbl4,315789474,315789474.0,315789474.0,315789474,0.0
b6bbcb46b7584c80c0557f884549e26d7c9f0,53459052631579,1.13592807354e+11,1052631579.0,0,2.04038382186e+12
15b3701c71d57a016760adc53ee55ea8jvl62,1161736842105,1.16173684210e+12,1.16173684210e+12,1161736842105,0.0
c227dc28115f8aabad157ddbc5e505161pfrm,421052632,421052632.0,421052632.0,421052632,0.0
e01a4a804c878f87058fe4a02c40dfcdxciss,18210526315,3128654970.67,1105263158.0,52631579,5445672313.11
2b4b36fd77eaeabbdad8fac68b17ece5ey04u,7736842105,7736842105.0,7736842105.0,7736842105,0.0
e613acb1029ecafd9792c9f75d468e4bmm9zn,3052631579,1078947368.5,315789474.0,0,1274709605.97
7bb914fcdec49aa88c7310a3dda716aa9fb8t,1473684210,669172932.429,684210526.0,105263158,400547987.804
8f6605a649ae41fe950a6bf579452464d9lmc,5882105263158,43871359223.3,2026315789.5,0,3.12894554019e+11
c47f44d68f18f805aebd784c1a3d36ae5f7l4,245368421053,21308270676.8,6894736842.0,157894737,52386160358.0
5a823474f9fdaa129dea9fa690d51b62rgm7q,2966842105263,39789979757.1,1000000000.0,0,2.9096932038e+11
4030548f1f39260ae7f6262b851c1fddzrssj,100947368421,7434419381.78,2026315789.0,0,15147086872.1
6b811f4ceccc095543d604f1a8ea664d9efo8,79631578947,13855263157.9,4473684211.0,0,19590240623.8
1530274540158dafaea1075876947415exi1r,66421052632,9756140350.93,2263157894.5,0,16577568772.2
945c7f4a9d8780193f262bd8d61378c49fbrw,2838578947368,6573982942.01,1421052632.0,0,71096519800.3
992b06aa10841cba3bebe8c180ba6feb5p7ot,91789473684,91789473684.0,91789473684.0,91789473684,0.0
d927c987f8a4ba2dc4f38dadc0831100tt94p,80789473684,4086513157.91,842105263.5,0,12129474282.0
51531e790ebb8559f364f56f9b61b7c2zoy4j,1894736842,781954887.286,473684211.0,157894737,653400330.091
141de95a87383f219aa06add1f1f31c328hdy,52631579,52631579.0,52631579.0,52631579,0.0
67d6466d7f4a32d294196b8c16ee0b03kn9tf,473684211,473684211.0,473684211.0,473684211,0.0
72f6057fc90f535fbe677e7165a29ad38rz9g,238473684210,1.38789473684e+11,1.38789473684e+11,39105263158,99684210526.0
fc4cb5c8e2c3d0ccf9e75fb1119d8e9ay651e,23789473684,15578947368.0,15578947368.0,7368421052,8210526316.0
3e1a11895d88b8c7ae599fbee731bfa06evvr,30052631579,13701754386.0,10000000000.0,1052631579,12125104512.3
20377edbc32153bf6e34a003ffe73c5bylkhm,11421052632,3938596491.33,2973684210.5,157894737,3672590279.42
25558d24bca82beef0f9db4ba1fe2045ynnvq,37105263157,9565789473.62,4368421052.5,315789474,12295888948.5
9843745530e0a70f83db6023718a47450qaw8,16684210527,1792397660.78,921052631.5,0,2974083822.63
462809b038500eb121ea94bd4538613dhoczl,593789473684,50465655664.6,6631578948.0,0,1.26706772172e+11
